"books_sold","weeks_best_seller","n_books_published","genre","page_numbers","publication_year"
1509,2,5,"Mystery",371,15
1914,4,5,"Mystery",267,8
1596,4,0,"Mystery",402,12
2055,7,3,"Science Fiction",331,6
1798,5,4,"Science Fiction",389,10
1969,5,2,"Science Fiction",378,8
1779,6,1,"Science Fiction",408,10
1901,7,2,"Romance",284,8
1945,5,2,"Mystery",363,6
1967,5,4,"Romance",421,7
1387,4,3,"Romance",156,17
1628,3,5,"Science Fiction",429,12
1777,4,2,"Science Fiction",238,8
1923,6,4,"Romance",431,9
1874,6,5,"Mystery",365,7
2128,7,3,"Mystery",341,7
1841,6,1,"Science Fiction",274,10
1624,4,2,"Mystery",347,11
1741,5,1,"Science Fiction",440,9
2124,6,5,"Romance",282,5
1887,6,2,"Science Fiction",340,9
1540,3,1,"Science Fiction",440,14
1555,4,4,"Science Fiction",195,13
1498,4,4,"Mystery",409,15
1985,5,3,"Science Fiction",301,7
1403,3,2,"Science Fiction",204,17
1497,3,6,"Mystery",412,12
1790,6,1,"Science Fiction",430,8
1843,6,8,"Romance",362,8
2068,7,4,"Mystery",366,6
1499,4,4,"Science Fiction",142,13
1752,4,5,"Romance",330,10
1660,6,2,"Science Fiction",218,10
1345,7,5,"Mystery",619,17
1758,4,3,"Science Fiction",356,11
1171,0,2,"Science Fiction",468,27
1744,5,2,"Science Fiction",461,10
1621,3,5,"Science Fiction",342,12
1586,5,3,"Romance",189,11
1774,5,3,"Romance",448,10
1390,1,6,"Science Fiction",313,18
1542,3,5,"Mystery",388,13
1749,3,7,"Romance",360,11
2083,6,0,"Science Fiction",392,7
1648,2,4,"Science Fiction",305,12
1410,2,2,"Mystery",465,17
1328,4,1,"Mystery",498,19
1791,4,5,"Mystery",373,7
1780,5,3,"Mystery",364,10
1495,3,3,"Romance",440,13
1864,4,5,"Science Fiction",378,9
2017,6,3,"Mystery",387,7
1564,6,2,"Mystery",154,13
1118,5,2,"Mystery",596,29
2211,7,4,"Science Fiction",390,6
1782,5,5,"Science Fiction",386,9
1773,7,5,"Science Fiction",188,9
1389,4,1,"Mystery",177,18
1905,4,1,"Romance",405,9
1568,7,3,"Science Fiction",582,13
1691,3,0,"Mystery",344,8
1518,2,2,"Science Fiction",452,12
1429,4,5,"Science Fiction",545,16
1299,4,3,"Science Fiction",129,19
1491,3,2,"Mystery",334,15
1626,4,4,"Science Fiction",449,12
1525,5,3,"Romance",233,13
1850,6,3,"Science Fiction",321,10
1924,5,3,"Science Fiction",302,6
1661,4,1,"Mystery",272,11
1870,6,4,"Science Fiction",452,8
1796,6,1,"Mystery",415,9
2022,6,4,"Romance",345,6
1765,5,0,"Mystery",378,7
1566,2,7,"Science Fiction",383,15
1637,4,3,"Science Fiction",286,11
1620,3,4,"Mystery",350,13
1801,6,1,"Romance",232,9
1671,4,1,"Mystery",417,11
1954,5,5,"Science Fiction",315,6
1604,4,2,"Science Fiction",272,10
1717,5,2,"Science Fiction",230,10
1698,6,2,"Science Fiction",434,10
1649,2,0,"Mystery",390,12
1457,4,5,"Science Fiction",505,15
1557,4,2,"Mystery",209,13
1959,6,4,"Science Fiction",364,9
1759,4,7,"Romance",353,9
1496,4,2,"Mystery",380,15
1278,3,3,"Science Fiction",490,22
1859,5,5,"Science Fiction",330,10
2001,6,3,"Science Fiction",416,8
1705,4,2,"Romance",217,10
1437,4,4,"Science Fiction",204,16
1621,4,2,"Mystery",244,11
1514,3,4,"Science Fiction",340,13
1717,6,2,"Science Fiction",208,10
1591,3,2,"Science Fiction",429,12
1666,5,1,"Science Fiction",322,11
1805,4,3,"Science Fiction",310,10
2228,8,4,"Science Fiction",424,5
1621,3,4,"Mystery",407,12
1535,3,1,"Science Fiction",342,12
1680,4,3,"Science Fiction",441,10
1040,4,1,"Mystery",69,38
1364,2,0,"Mystery",420,19
1637,4,3,"Mystery",236,12
1476,3,3,"Mystery",277,15
1638,5,3,"Science Fiction",305,10
1804,4,2,"Mystery",339,9
1978,5,1,"Science Fiction",318,7
1589,3,2,"Romance",375,14
1523,2,6,"Science Fiction",387,13
2172,9,4,"Science Fiction",340,5
1639,4,5,"Science Fiction",259,10
2030,8,1,"Science Fiction",364,6
1245,2,6,"Mystery",193,21
1987,6,8,"Romance",306,7
2021,7,2,"Science Fiction",334,6
1875,5,5,"Science Fiction",398,8
1700,5,4,"Romance",272,11
1496,3,3,"Mystery",457,13
1157,4,0,"Science Fiction",605,27
1542,3,2,"Mystery",231,13
2144,6,4,"Romance",412,7
2057,7,2,"Science Fiction",406,7
1693,2,4,"Science Fiction",356,10
1512,4,4,"Mystery",282,12
1449,6,6,"Science Fiction",618,15
1726,5,4,"Science Fiction",299,12
1781,4,4,"Science Fiction",320,9
1674,3,2,"Science Fiction",347,10
1660,5,1,"Science Fiction",478,11
1843,6,4,"Science Fiction",323,8
1655,6,3,"Mystery",519,12
1779,5,5,"Science Fiction",414,10
1793,6,2,"Science Fiction",436,10
1533,3,4,"Romance",424,12
1198,4,5,"Mystery",125,24
1772,4,5,"Mystery",350,10
1314,1,3,"Science Fiction",334,21
1826,7,8,"Mystery",161,11
1895,4,2,"Science Fiction",375,8
1624,4,2,"Science Fiction",368,15
1603,4,4,"Science Fiction",504,14
1727,5,1,"Mystery",268,10
1615,3,2,"Romance",321,10
1841,4,2,"Mystery",403,9
1811,5,5,"Romance",338,9
1713,5,3,"Science Fiction",309,8
1582,3,8,"Mystery",298,12
1454,2,1,"Romance",334,16
1487,3,1,"Science Fiction",297,14
1831,6,3,"Science Fiction",524,9
1830,6,3,"Science Fiction",227,9
1652,3,3,"Science Fiction",318,10
1757,4,1,"Science Fiction",382,9
1711,5,5,"Science Fiction",414,10
1705,5,0,"Science Fiction",401,11
1846,5,4,"Mystery",262,9
1654,4,2,"Science Fiction",367,12
1803,5,3,"Romance",369,10
1995,7,3,"Mystery",437,6
1582,6,3,"Mystery",165,11
1878,6,2,"Mystery",400,6
971,3,2,"Romance",90,46
1665,5,1,"Science Fiction",211,11
1660,3,2,"Science Fiction",265,11
1966,6,4,"Romance",330,7
1967,6,4,"Mystery",291,7
2024,6,1,"Science Fiction",488,7
1524,4,4,"Mystery",451,14
1645,5,3,"Science Fiction",444,12
1325,1,5,"Mystery",389,20
1263,3,7,"Romance",181,22
1949,6,6,"Mystery",409,9
1764,4,4,"Science Fiction",310,8
1447,4,3,"Mystery",502,15
1790,5,4,"Science Fiction",403,9
1492,2,3,"Science Fiction",464,13
1287,4,2,"Mystery",517,21
1829,3,1,"Science Fiction",304,8
1523,4,1,"Science Fiction",198,14
1577,2,7,"Science Fiction",411,11
1656,3,4,"Mystery",331,11
1858,5,4,"Science Fiction",427,7
1860,5,2,"Mystery",267,10
1731,3,4,"Romance",340,10
2037,5,1,"Science Fiction",436,9
1689,5,6,"Science Fiction",434,11
1694,3,2,"Science Fiction",412,11
1749,4,1,"Science Fiction",371,11
1871,5,2,"Science Fiction",350,8
1768,5,2,"Science Fiction",214,9
1941,6,0,"Science Fiction",347,9
1649,8,3,"Mystery",156,11
1794,4,2,"Science Fiction",331,9
1688,4,3,"Science Fiction",408,8
1733,4,3,"Science Fiction",338,11
1767,5,3,"Science Fiction",260,11
1784,3,1,"Mystery",358,10
1666,3,1,"Science Fiction",455,11
1659,5,4,"Mystery",359,10
1782,5,3,"Romance",285,10
1469,4,5,"Mystery",196,14
1402,3,2,"Mystery",205,17
1815,5,6,"Science Fiction",362,9
1572,4,3,"Science Fiction",449,12
2004,6,1,"Science Fiction",451,7
1825,5,0,"Science Fiction",425,8
1556,2,3,"Mystery",406,13
1791,5,2,"Science Fiction",342,9
1553,4,1,"Science Fiction",433,13
1616,4,4,"Mystery",246,10
1913,6,0,"Mystery",415,8
1403,3,1,"Mystery",435,18
1702,4,2,"Science Fiction",538,8
1685,3,4,"Mystery",295,9
1659,3,1,"Mystery",303,12
1816,6,3,"Romance",234,9
1490,4,1,"Science Fiction",467,14
2206,8,1,"Mystery",228,5
1469,2,7,"Mystery",487,15
1899,5,4,"Mystery",290,7
1555,5,4,"Romance",206,13
1358,1,1,"Mystery",429,18
1816,5,2,"Science Fiction",387,10
1388,4,1,"Mystery",240,16
1674,5,1,"Science Fiction",228,12
1633,4,1,"Mystery",404,10
1900,6,2,"Science Fiction",218,7
1571,5,4,"Science Fiction",398,13
1763,4,5,"Mystery",267,8
2013,7,1,"Science Fiction",430,5
1591,7,4,"Science Fiction",164,13
1822,5,3,"Science Fiction",284,7
1829,5,4,"Science Fiction",277,7
1572,7,7,"Mystery",156,10
1625,3,2,"Romance",246,12
1474,3,4,"Mystery",469,16
1828,5,3,"Romance",447,8
1303,4,2,"Mystery",559,18
1582,5,2,"Romance",498,11
1587,8,3,"Romance",593,13
1538,3,3,"Science Fiction",361,12
1485,2,5,"Science Fiction",471,15
1458,3,6,"Mystery",329,16
1710,5,2,"Mystery",377,11
1732,4,2,"Science Fiction",318,10
1804,5,2,"Science Fiction",297,9
1893,7,1,"Romance",414,8
1511,2,3,"Mystery",287,14
1617,3,7,"Science Fiction",328,12
1944,6,5,"Mystery",357,8
1524,4,4,"Science Fiction",463,14
1722,5,1,"Mystery",341,9
1705,4,4,"Science Fiction",438,8
1662,3,2,"Science Fiction",281,11
1779,4,2,"Romance",230,8
1851,5,0,"Science Fiction",333,7
1791,5,5,"Science Fiction",277,9
1733,4,2,"Mystery",397,8
1439,6,4,"Science Fiction",547,17
1653,4,4,"Mystery",439,10
1933,6,1,"Science Fiction",229,7
2143,7,2,"Mystery",396,5
1775,5,3,"Science Fiction",337,9
2192,8,5,"Science Fiction",321,6
1800,7,1,"Mystery",211,9
1597,4,3,"Science Fiction",317,12
989,2,2,"Science Fiction",146,44
1957,7,5,"Mystery",371,8
1618,3,4,"Mystery",342,12
1453,3,4,"Science Fiction",208,14
1240,4,4,"Science Fiction",588,22
1764,5,2,"Science Fiction",378,9
1813,6,5,"Science Fiction",432,9
1327,5,3,"Romance",587,20
1744,5,3,"Mystery",469,8
1523,3,4,"Science Fiction",378,14
1828,6,9,"Science Fiction",320,8
1516,4,3,"Mystery",234,14
1710,4,5,"Mystery",436,9
1565,3,2,"Mystery",373,14
1646,3,3,"Mystery",199,11
1597,4,1,"Science Fiction",388,12
1670,4,1,"Science Fiction",381,10
1461,3,7,"Mystery",515,16
1158,4,2,"Science Fiction",99,28
1548,3,5,"Science Fiction",290,13
1246,2,4,"Mystery",452,22
1939,7,3,"Science Fiction",291,8
1644,5,3,"Science Fiction",263,12
2072,7,3,"Mystery",347,7
1681,5,3,"Mystery",371,12
1586,3,0,"Mystery",411,11
1774,5,2,"Science Fiction",327,9
1535,3,1,"Romance",457,13
1528,4,6,"Science Fiction",512,14
1567,5,3,"Science Fiction",463,13
1853,5,2,"Science Fiction",347,7
1579,4,6,"Mystery",250,13
1880,5,2,"Science Fiction",353,8
1258,4,5,"Mystery",536,23
1301,4,3,"Romance",566,19
1401,4,2,"Science Fiction",449,18
1654,4,0,"Science Fiction",400,11
1624,3,2,"Mystery",267,11
1500,4,2,"Science Fiction",232,15
2049,5,2,"Science Fiction",404,5
1667,5,3,"Science Fiction",156,10
1704,6,4,"Mystery",382,8
1723,6,2,"Science Fiction",258,10
1503,3,2,"Science Fiction",446,15
1776,5,2,"Science Fiction",413,8
