"participant","minutes","n_previous_marathons","age","gender","hills","weather"
366,242,9,35,"Male",10,"Cloudy"
36,320,7,14,"Female",14,"Sunny"
211,314,7,34,"Male",11,"Cloudy"
230,207,11,29,"Male",5,"Sunny"
280,355,8,35,"Female",13,"Cloudy"
37,311,9,21,"Male",11,"Sunny"
277,378,12,42,"Female",9,"Sunny"
521,289,6,23,"Male",10,"Sunny"
423,309,7,41,"Male",10,"Cloudy"
433,310,6,16,"Female",16,"Sunny"
453,429,5,40,"Female",12,"Sunny"
80,398,4,17,"Female",11,"Light Rain"
256,261,9,20,"Female",14,"Cloudy"
600,357,3,37,"Male",7,"Sunny"
380,257,12,28,"Male",6,"Cloudy"
173,230,10,22,"Female",11,"Cloudy"
257,392,4,34,"Male",9,"Cloudy"
43,410,6,52,"Female",6,"Cloudy"
115,259,8,31,"Male",9,"Cloudy"
559,448,7,36,"Female",13,"Cloudy"
179,312,10,39,"Male",8,"Cloudy"
165,293,6,24,"Female",9,"Cloudy"
350,328,8,45,"Male",10,"Sunny"
235,443,5,54,"Other",5,"Cloudy"
260,227,10,29,"Male",15,"Light Rain"
586,468,4,40,"Female",11,"Sunny"
28,291,7,41,"Male",12,"Cloudy"
499,238,8,37,"Male",8,"Light Rain"
282,342,4,34,"Male",11,"Sunny"
175,258,8,33,"Male",4,"Light Rain"
302,390,2,35,"Female",13,"Sunny"
432,318,7,44,"Male",7,"Sunny"
553,323,7,45,"Female",7,"Sunny"
174,216,9,33,"Female",14,"Cloudy"
421,369,7,25,"Female",10,"Cloudy"
273,258,3,27,"Male",5,"Light Rain"
392,415,5,47,"Female",14,"Sunny"
551,387,6,41,"Male",6,"Sunny"
184,309,5,36,"Female",12,"Light Rain"
588,241,8,29,"Male",7,"Sunny"
347,210,13,27,"Female",8,"Cloudy"
508,394,7,57,"Male",9,"Cloudy"
599,272,10,39,"Male",12,"Sunny"
481,434,5,43,"Female",12,"Light Rain"
157,424,7,46,"Female",13,"Cloudy"
240,258,9,33,"Male",9,"Sunny"
482,295,9,44,"Male",11,"Sunny"
369,396,6,41,"Male",8,"Sunny"
195,252,11,26,"Female",9,"Cloudy"
480,384,8,32,"Female",7,"Cloudy"
13,220,8,18,"Male",12,"Sunny"
249,299,12,59,"Female",8,"Cloudy"
197,282,6,37,"Female",4,"Sunny"
513,271,10,34,"Female",6,"Cloudy"
333,324,9,40,"Female",10,"Cloudy"
10,362,7,55,"Female",8,"Sunny"
221,443,5,45,"Male",7,"Sunny"
409,316,6,37,"Female",10,"Light Rain"
308,283,2,21,"Female",10,"Sunny"
297,361,13,34,"Male",16,"Cloudy"
125,420,6,28,"Female",11,"Light Rain"
39,306,6,44,"Male",11,"Sunny"
48,288,7,29,"Female",12,"Light Rain"
579,391,7,47,"Female",9,"Cloudy"
32,267,11,23,"Female",7,"Sunny"
494,200,8,38,"Female",6,"Cloudy"
471,362,4,18,"Female",16,"Light Rain"
250,215,8,29,"Female",8,"Cloudy"
420,451,2,39,"Female",6,"Cloudy"
570,329,10,52,"Female",12,"Sunny"
469,351,5,32,"Female",7,"Sunny"
580,358,7,34,"Other",7,"Cloudy"
252,324,5,27,"Female",7,"Cloudy"
58,385,9,35,"Female",11,"Light Rain"
341,301,6,27,"Male",15,"Sunny"
77,372,6,25,"Female",14,"Sunny"
472,404,9,31,"Female",12,"Cloudy"
63,383,6,38,"Female",10,"Sunny"
68,206,9,26,"Male",9,"Sunny"
486,408,4,29,"Female",11,"Sunny"
388,335,5,40,"Male",9,"Light Rain"
353,246,7,41,"Male",10,"Cloudy"
430,292,10,45,"Female",8,"Sunny"
141,310,6,23,"Female",9,"Cloudy"
74,508,0,43,"Female",12,"Sunny"
531,292,11,46,"Female",6,"Light Rain"
428,305,6,37,"Female",4,"Cloudy"
484,274,8,23,"Female",12,"Sunny"
405,283,6,21,"Female",7,"Light Rain"
219,222,9,25,"Female",11,"Cloudy"
153,291,6,39,"Female",8,"Sunny"
121,392,8,53,"Male",10,"Cloudy"
359,359,6,43,"Female",15,"Sunny"
313,377,8,52,"Female",13,"Sunny"
8,291,10,37,"Female",10,"Cloudy"
496,234,14,43,"Female",9,"Light Rain"
507,279,7,34,"Female",7,"Cloudy"
86,358,6,49,"Male",6,"Light Rain"
427,386,6,41,"Female",17,"Cloudy"
400,213,14,19,"Female",14,"Sunny"
407,302,8,38,"Female",8,"Cloudy"
577,287,6,43,"Male",9,"Sunny"
322,310,5,38,"Male",8,"Cloudy"
18,319,3,22,"Female",12,"Sunny"
95,380,6,29,"Male",7,"Sunny"
158,225,5,30,"Male",5,"Sunny"
348,298,6,32,"Female",4,"Cloudy"
483,445,6,35,"Female",18,"Sunny"
351,310,4,16,"Female",10,"Cloudy"
201,430,5,29,"Female",-999,"Sunny"
557,275,8,20,"Female",8,"Sunny"
299,474,4,47,"Female",10,"Light Rain"
148,419,3,44,"Male",14,"Cloudy"
597,378,7,37,"Female",10,"Sunny"
544,312,5,36,"Male",15,"Sunny"
306,293,7,33,"Male",7,"Cloudy"
464,388,4,18,"Female",13,"Sunny"
419,371,7,39,"Female",14,"Sunny"
27,349,7,34,"Female",8,"Sunny"
332,300,5,16,"Female",12,"Sunny"
524,332,3,43,"Male",8,"Sunny"
251,475,5,43,"Female",19,"Sunny"
296,211,9,23,"Male",11,"Sunny"
225,419,3,46,"Female",9,"Light Rain"
458,331,9,33,"Female",10,"Cloudy"
247,300,6,23,"Male",8,"Cloudy"
284,431,5,40,"Female",9,"Sunny"
349,305,5,42,"Male",10,"Sunny"
222,337,12,34,"Female",12,"Cloudy"
263,249,8,24,"Male",7,"Sunny"
44,322,6,36,"Male",7,"Sunny"
47,280,5,36,"Male",12,"Cloudy"
248,312,12,41,"Female",11,"Cloudy"
92,265,8,13,"Male",14,"Cloudy"
272,391,1,20,"Male",14,"Cloudy"
88,322,10,24,"Female",12,"Sunny"
279,293,3,20,"Male",8,"Cloudy"
594,436,4,53,"Female",10,"Sunny"
575,327,12,50,"Female",8,"Cloudy"
140,388,6,47,"Other",9,"Sunny"
510,373,6,33,"Female",13,"Sunny"
239,282,4,29,"Male",7,"Cloudy"
143,473,2,42,"Female",13,"Cloudy"
538,354,9,27,"Male",14,"Cloudy"
29,334,5,48,"Other",13,"Sunny"
355,352,8,40,"Other",13,"Cloudy"
93,321,6,44,"Female",6,"Sunny"
403,170,11,28,"Male",7,"Cloudy"
212,386,5,37,"Female",12,"Cloudy"
298,277,4,16,"Female",14,"Sunny"
475,329,8,38,"Male",12,"Sunny"
493,467,7,44,"Female",11,"Heavy Rain"
417,257,12,43,"Female",14,"Sunny"
229,374,8,39,"Female",13,"Cloudy"
402,220,4,20,"Male",10,"Sunny"
381,327,7,39,"Male",13,"Cloudy"
199,432,4,39,"Female",14,"Cloudy"
293,485,3,43,"Female",10,"Cloudy"
163,292,8,40,"Other",6,"Cloudy"
552,345,5,34,"Male",14,"Cloudy"
312,273,7,23,"Female",4,"Sunny"
49,322,5,25,"Male",-999,"Cloudy"
595,256,4,40,"Other",9,"Cloudy"
344,264,5,41,"Female",12,"Cloudy"
243,474,4,42,"Female",13,"Heavy Rain"
100,327,7,31,"Female",8,"Cloudy"
459,360,4,15,"Female",7,"Sunny"
102,276,6,23,"Female",12,"Light Rain"
451,393,7,50,"Male",11,"Cloudy"
20,308,12,44,"Female",17,"Light Rain"
562,308,11,36,"Male",17,"Cloudy"
315,382,6,46,"Female",9,"Cloudy"
560,524,2,51,"Female",17,"Cloudy"
408,275,4,26,"Male",9,"Sunny"
526,310,8,29,"Female",12,"Cloudy"
226,414,6,41,"Female",12,"Sunny"
34,403,9,50,"Female",7,"Sunny"
292,455,4,40,"Female",7,"Cloudy"
393,349,8,47,"Male",11,"Light Rain"
285,424,3,25,"Female",14,"Cloudy"
101,325,8,34,"Female",3,"Cloudy"
548,282,10,45,"Female",10,"Light Rain"
542,464,4,62,"Female",11,"Sunny"
161,332,7,44,"Male",10,"Cloudy"
592,423,3,41,"Female",2,"Light Rain"
120,336,6,29,"Female",8,"Sunny"
62,458,4,42,"Other",10,"Light Rain"
108,274,8,43,"Male",11,"Light Rain"
568,287,9,46,"Male",7,"Cloudy"
520,288,9,23,"Female",11,"Cloudy"
485,171,11,22,"Female",5,"Cloudy"
79,309,6,35,"Male",-999,"Cloudy"
220,179,11,33,"Female",7,"Cloudy"
6,439,3,38,"Female",11,"Sunny"
584,363,6,47,"Female",17,"Sunny"
216,285,8,28,"Female",12,"Light Rain"
390,202,5,14,"Male",8,"Light Rain"
387,276,5,33,"Male",7,"Sunny"
124,459,5,48,"Female",16,"Cloudy"
564,316,5,26,"Male",8,"Sunny"
572,230,11,36,"Female",14,"Cloudy"
583,308,10,33,"Male",7,"Cloudy"
398,428,4,34,"Female",11,"Cloudy"
518,255,9,47,"Male",5,"Cloudy"
146,387,5,37,"Male",6,"Light Rain"
422,201,8,18,"Male",7,"Sunny"
118,256,12,39,"Male",-999,"Light Rain"
126,93,13,30,"Female",11,"Sunny"
581,301,10,40,"Female",11,"Sunny"
64,382,5,45,"Male",12,"Sunny"
112,387,6,38,"Female",9,"Cloudy"
426,318,8,38,"Female",6,"Sunny"
444,359,4,42,"Male",8,"Cloudy"
254,365,5,37,"Female",13,"Cloudy"
301,376,9,46,"Male",14,"Sunny"
246,281,8,44,"Other",14,"Light Rain"
180,261,7,33,"Female",7,"Cloudy"
516,458,4,43,"Male",7,"Sunny"
386,277,11,31,"Female",9,"Cloudy"
83,357,6,37,"Female",8,"Sunny"
385,262,7,25,"Male",13,"Sunny"
52,198,6,15,"Male",13,"Cloudy"
238,289,10,39,"Male",13,"Sunny"
205,283,6,20,"Female",10,"Cloudy"
135,385,7,35,"Female",6,"Sunny"
454,423,3,37,"Male",9,"Sunny"
164,377,6,31,"Female",9,"Cloudy"
149,283,5,14,"Male",9,"Light Rain"
555,453,7,58,"Female",15,"Light Rain"
129,406,4,51,"Female",9,"Sunny"
202,124,12,25,"Female",8,"Sunny"
234,302,3,36,"Female",4,"Cloudy"
514,347,6,37,"Male",-999,"Cloudy"
21,287,10,37,"Male",17,"Sunny"
465,360,7,39,"Male",13,"Sunny"
60,339,6,61,"Male",9,"Sunny"
566,356,8,61,"Female",6,"Light Rain"
354,377,4,20,"Female",14,"Sunny"
503,346,5,44,"Female",5,"Cloudy"
330,303,11,56,"Male",11,"Sunny"
573,348,7,24,"Female",14,"Sunny"
218,387,6,38,"Female",12,"Sunny"
565,424,8,33,"Female",15,"Light Rain"
327,103,17,37,"Male",11,"Sunny"
12,418,7,43,"Female",6,"Sunny"
137,346,9,42,"Female",12,"Cloudy"
343,284,7,37,"Female",13,"Cloudy"
307,410,4,28,"Female",9,"Cloudy"
106,240,10,18,"Female",7,"Sunny"
342,379,4,38,"Female",12,"Cloudy"
541,273,9,27,"Male",8,"Heavy Rain"
305,327,8,43,"Male",11,"Sunny"
563,229,9,21,"Other",7,"Cloudy"
585,251,10,40,"Male",6,"Sunny"
321,239,10,21,"Male",4,"Cloudy"
94,319,8,27,"Male",12,"Sunny"
267,390,6,40,"Female",9,"Cloudy"
501,345,6,39,"Female",7,"Sunny"
111,176,11,40,"Female",9,"Light Rain"
399,422,4,39,"Female",15,"Sunny"
478,415,0,32,"Female",8,"Cloudy"
436,363,8,40,"Female",14,"Sunny"
358,364,6,40,"Male",17,"Cloudy"
24,194,14,42,"Male",7,"Light Rain"
412,276,10,33,"Male",8,"Cloudy"
81,308,5,35,"Male",7,"Sunny"
11,266,12,48,"Female",10,"Cloudy"
71,445,9,59,"Female",10,"Light Rain"
33,228,8,28,"Male",11,"Sunny"
154,488,5,42,"Female",10,"Sunny"
442,307,7,45,"Male",10,"Light Rain"
379,390,6,26,"Female",15,"Sunny"
309,400,7,32,"Male",14,"Heavy Rain"
253,346,7,46,"Male",9,"Cloudy"
1,364,5,28,"Female",11,"Cloudy"
291,215,5,7,"Female",7,"Sunny"
275,266,9,31,"Male",17,"Sunny"
598,253,6,31,"Female",10,"Sunny"
447,375,9,62,"Female",12,"Sunny"
506,328,5,36,"Female",15,"Light Rain"
512,398,4,19,"Female",11,"Sunny"
196,309,7,21,"Male",12,"Light Rain"
517,364,7,33,"Female",12,"Sunny"
443,349,9,59,"Female",9,"Light Rain"
209,363,4,37,"Female",11,"Cloudy"
192,347,6,49,"Female",9,"Sunny"
434,217,15,49,"Male",6,"Cloudy"
534,348,9,50,"Male",12,"Sunny"
452,350,6,34,"Male",5,"Sunny"
110,318,4,37,"Male",7,"Sunny"
138,319,9,46,"Male",6,"Sunny"
331,379,8,28,"Female",14,"Cloudy"
320,209,10,50,"Male",7,"Light Rain"
19,379,6,52,"Male",7,"Cloudy"
156,284,6,8,"Female",9,"Light Rain"
500,302,9,41,"Male",10,"Light Rain"
224,390,8,32,"Female",9,"Sunny"
87,300,13,40,"Female",11,"Heavy Rain"
295,361,9,40,"Female",5,"Cloudy"
134,245,9,25,"Female",10,"Cloudy"
368,394,2,33,"Male",5,"Light Rain"
536,309,9,38,"Female",7,"Cloudy"
182,411,6,38,"Other",11,"Light Rain"
35,426,2,39,"Female",11,"Cloudy"
177,357,6,52,"Female",9,"Cloudy"
30,343,4,35,"Male",7,"Cloudy"
578,537,2,53,"Female",13,"Light Rain"
547,387,3,29,"Female",14,"Cloudy"
457,268,9,45,"Male",5,"Cloudy"
411,362,6,46,"Female",9,"Cloudy"
85,460,4,40,"Female",13,"Cloudy"
519,382,3,26,"Female",10,"Cloudy"
51,391,3,45,"Male",10,"Cloudy"
450,416,8,39,"Female",12,"Cloudy"
310,199,7,27,"Male",7,"Sunny"
470,327,9,50,"Female",10,"Sunny"
377,285,9,24,"Female",9,"Sunny"
70,334,6,30,"Male",13,"Cloudy"
596,300,10,28,"Male",14,"Cloudy"
328,351,3,24,"Female",8,"Sunny"
525,322,7,32,"Female",8,"Cloudy"
466,374,5,45,"Female",11,"Sunny"
268,310,6,41,"Female",8,"Cloudy"
378,283,5,22,"Male",7,"Cloudy"
117,313,7,34,"Female",8,"Light Rain"
593,221,12,24,"Female",7,"Cloudy"
401,161,13,28,"Male",13,"Cloudy"
119,349,7,40,"Male",17,"Cloudy"
4,250,10,24,"Male",11,"Cloudy"
477,317,8,35,"Other",15,"Sunny"
336,246,7,16,"Female",8,"Cloudy"
318,258,5,28,"Female",7,"Sunny"
294,262,10,32,"Female",6,"Sunny"
269,335,2,32,"Male",9,"Sunny"
75,331,7,40,"Other",15,"Cloudy"
488,278,8,15,"Female",8,"Sunny"
545,313,9,41,"Female",10,"Cloudy"
340,211,13,30,"Female",13,"Sunny"
26,272,8,42,"Male",19,"Cloudy"
522,349,6,42,"Female",12,"Sunny"
479,370,5,40,"Female",10,"Sunny"
413,316,5,34,"Female",0,"Cloudy"
468,270,8,33,"Male",7,"Cloudy"
290,329,8,22,"Female",5,"Sunny"
288,370,5,27,"Male",9,"Cloudy"
554,182,10,23,"Male",13,"Sunny"
170,387,5,46,"Female",8,"Light Rain"
540,412,5,38,"Male",9,"Heavy Rain"
270,189,7,36,"Male",9,"Sunny"
31,310,12,45,"Male",7,"Sunny"
189,338,11,51,"Male",12,"Cloudy"
69,244,9,44,"Other",9,"Light Rain"
40,373,5,34,"Male",11,"Cloudy"
98,347,4,43,"Male",5,"Cloudy"
325,339,4,26,"Male",3,"Sunny"
22,365,8,47,"Female",7,"Sunny"
145,314,10,29,"Female",11,"Sunny"
287,390,3,39,"Female",14,"Sunny"
491,261,12,39,"Female",10,"Cloudy"
185,346,7,42,"Male",12,"Sunny"
105,390,7,42,"Female",13,"Sunny"
255,300,7,52,"Male",11,"Sunny"
41,388,4,41,"Female",11,"Sunny"
97,325,9,27,"Female",7,"Sunny"
591,253,7,25,"Female",4,"Sunny"
133,408,8,38,"Female",8,"Heavy Rain"
462,315,6,41,"Male",9,"Cloudy"
418,421,6,32,"Male",13,"Sunny"
65,383,9,43,"Female",9,"Cloudy"
55,362,7,26,"Female",9,"Cloudy"
515,329,9,38,"Male",15,"Cloudy"
530,317,6,21,"Female",11,"Light Rain"
241,167,7,32,"Female",5,"Sunny"
345,303,7,31,"Female",11,"Cloudy"
262,302,10,41,"Male",9,"Sunny"
14,296,7,29,"Male",9,"Light Rain"
304,243,9,20,"Male",15,"Cloudy"
245,370,6,44,"Male",6,"Sunny"
502,234,6,28,"Male",10,"Sunny"
363,433,10,55,"Male",12,"Sunny"
303,352,9,35,"Female",9,"Sunny"
17,300,5,34,"Male",11,"Cloudy"
152,368,7,45,"Male",9,"Sunny"
50,233,10,33,"Female",9,"Sunny"
326,345,3,44,"Female",8,"Sunny"
314,385,3,35,"Female",7,"Cloudy"
67,363,9,39,"Female",8,"Cloudy"
438,343,7,34,"Female",6,"Cloudy"
109,324,6,30,"Male",8,"Sunny"
335,337,6,21,"Male",12,"Sunny"
194,306,8,24,"Female",9,"Cloudy"
142,403,6,40,"Female",12,"Cloudy"
338,332,8,46,"Male",4,"Cloudy"
2,159,9,27,"Male",7,"Light Rain"
172,288,5,32,"Male",14,"Sunny"
151,336,10,49,"Female",8,"Light Rain"
365,308,6,13,"Female",6,"Cloudy"
569,299,7,30,"Male",15,"Sunny"
231,289,8,41,"Female",9,"Sunny"
23,254,8,22,"Female",7,"Cloudy"
397,291,5,33,"Male",7,"Cloudy"
91,333,4,29,"Female",10,"Heavy Rain"
73,271,8,30,"Female",19,"Sunny"
276,435,9,49,"Male",18,"Sunny"
96,314,5,50,"Other",4,"Sunny"
223,261,8,28,"Male",11,"Cloudy"
374,390,7,29,"Female",13,"Cloudy"
316,223,9,9,"Female",8,"Sunny"
558,437,7,31,"Female",11,"Cloudy"
113,495,3,42,"Female",4,"Cloudy"
460,373,4,33,"Male",7,"Sunny"
104,291,12,35,"Male",12,"Sunny"
237,440,5,47,"Male",11,"Light Rain"
467,395,5,48,"Female",9,"Cloudy"
193,280,13,48,"Male",12,"Sunny"
527,292,11,31,"Female",9,"Sunny"
372,282,6,32,"Female",7,"Sunny"
337,287,8,34,"Female",8,"Light Rain"
130,296,8,21,"Male",9,"Cloudy"
371,325,6,30,"Female",12,"Cloudy"
139,293,13,13,"Female",12,"Cloudy"
271,440,10,45,"Other",10,"Cloudy"
535,411,3,33,"Male",7,"Sunny"
589,267,13,27,"Female",10,"Cloudy"
346,315,6,44,"Female",8,"Cloudy"
317,238,10,30,"Male",7,"Sunny"
38,413,5,33,"Female",13,"Heavy Rain"
339,427,8,41,"Male",4,"Cloudy"
169,318,6,36,"Male",-999,"Cloudy"
511,284,7,10,"Female",10,"Sunny"
300,360,9,54,"Female",8,"Sunny"
5,276,11,31,"Male",9,"Cloudy"
233,338,7,21,"Female",7,"Sunny"
373,311,10,39,"Female",12,"Light Rain"
171,374,8,55,"Female",10,"Cloudy"
490,226,10,28,"Female",5,"Sunny"
207,194,6,26,"Female",4,"Sunny"
84,338,9,24,"Female",10,"Sunny"
155,422,4,44,"Female",8,"Light Rain"
362,349,5,49,"Female",8,"Sunny"
389,365,4,32,"Female",5,"Cloudy"
406,360,7,41,"Female",11,"Light Rain"
236,357,6,43,"Male",12,"Sunny"
3,376,6,26,"Female",8,"Cloudy"
550,342,6,35,"Female",13,"Sunny"
261,191,11,27,"Female",15,"Cloudy"
445,196,10,37,"Male",9,"Cloudy"
107,213,11,32,"Female",11,"Sunny"
116,261,4,9,"Female",14,"Sunny"
587,332,5,25,"Female",10,"Sunny"
495,340,4,33,"Male",10,"Sunny"
114,302,12,34,"Male",12,"Light Rain"
391,156,13,34,"Male",8,"Sunny"
289,295,3,41,"Male",11,"Sunny"
259,354,7,33,"Male",13,"Light Rain"
15,403,4,31,"Female",12,"Sunny"
364,219,6,35,"Male",-999,"Sunny"
549,406,9,51,"Female",6,"Cloudy"
357,330,8,45,"Female",12,"Sunny"
334,362,10,38,"Other",7,"Cloudy"
89,257,10,31,"Female",6,"Sunny"
178,420,7,32,"Female",13,"Cloudy"
487,407,4,43,"Female",6,"Cloudy"
265,272,7,23,"Female",8,"Light Rain"
206,304,10,34,"Male",14,"Cloudy"
45,341,4,34,"Female",9,"Sunny"
498,367,3,31,"Male",10,"Cloudy"
539,300,7,36,"Male",8,"Cloudy"
132,308,10,39,"Female",14,"Cloudy"
476,456,6,54,"Male",13,"Cloudy"
383,365,6,28,"Female",-999,"Sunny"
574,431,6,44,"Female",12,"Sunny"
53,362,9,31,"Other",11,"Sunny"
198,250,8,37,"Male",12,"Sunny"
78,362,8,36,"Female",10,"Cloudy"
446,209,8,13,"Male",15,"Light Rain"
166,378,7,47,"Female",11,"Cloudy"
582,203,9,25,"Female",7,"Cloudy"
416,441,5,46,"Female",9,"Cloudy"
523,391,6,34,"Female",14,"Sunny"
384,315,9,25,"Female",8,"Cloudy"
425,260,10,35,"Male",8,"Cloudy"
232,322,6,30,"Female",16,"Cloudy"
162,308,6,32,"Female",2,"Cloudy"
208,337,5,14,"Female",19,"Sunny"
99,240,7,22,"Female",11,"Sunny"
323,420,4,43,"Female",15,"Light Rain"
356,210,13,27,"Female",10,"Cloudy"
571,216,7,24,"Male",7,"Sunny"
561,399,3,44,"Female",3,"Cloudy"
474,128,9,19,"Female",9,"Sunny"
283,236,6,23,"Male",5,"Sunny"
567,302,6,16,"Female",13,"Sunny"
492,389,3,26,"Male",9,"Cloudy"
414,292,7,34,"Female",9,"Sunny"
489,393,6,16,"Male",11,"Sunny"
395,300,4,20,"Male",8,"Light Rain"
168,312,5,52,"Female",10,"Sunny"
150,250,9,19,"Female",8,"Sunny"
324,352,8,37,"Female",12,"Sunny"
228,319,7,36,"Female",7,"Cloudy"
449,390,6,59,"Female",13,"Sunny"
258,332,6,30,"Male",5,"Cloudy"
54,493,4,36,"Female",14,"Cloudy"
25,318,8,30,"Female",4,"Sunny"
431,321,12,52,"Male",6,"Sunny"
415,398,5,49,"Female",7,"Sunny"
42,302,6,45,"Female",14,"Cloudy"
281,401,9,32,"Female",11,"Cloudy"
361,401,4,44,"Other",8,"Sunny"
136,370,8,24,"Female",-999,"Cloudy"
537,395,6,17,"Female",11,"Cloudy"
576,404,8,55,"Female",10,"Cloudy"
590,267,7,39,"Male",7,"Cloudy"
16,204,10,42,"Other",10,"Sunny"
244,271,8,23,"Male",12,"Cloudy"
448,365,4,30,"Male",7,"Cloudy"
509,285,11,38,"Male",8,"Cloudy"
376,152,12,15,"Female",3,"Sunny"
437,393,4,41,"Male",9,"Cloudy"
461,216,13,40,"Male",-999,"Sunny"
533,381,6,43,"Male",4,"Cloudy"
319,335,6,23,"Male",11,"Sunny"
76,291,5,29,"Male",9,"Sunny"
61,299,8,33,"Female",9,"Cloudy"
128,260,4,35,"Female",13,"Sunny"
176,242,8,37,"Male",11,"Sunny"
183,365,8,48,"Female",9,"Cloudy"
122,354,6,38,"Female",18,"Cloudy"
404,308,7,36,"Female",6,"Sunny"
396,424,5,60,"Male",13,"Cloudy"
435,334,5,34,"Female",5,"Sunny"
144,296,5,33,"Male",21,"Sunny"
187,358,5,44,"Female",13,"Sunny"
274,403,4,38,"Female",11,"Cloudy"
66,279,6,33,"Female",9,"Light Rain"
123,350,6,36,"Male",12,"Sunny"
505,393,6,38,"Male",8,"Light Rain"
367,386,5,37,"Female",9,"Sunny"
429,356,4,28,"Male",10,"Cloudy"
